name	split
CCMSLIB00000001563	train
CCMSLIB00000001574	train
CCMSLIB00000001590	train
CCMSLIB00000001598	train
CCMSLIB00000001606	train
CCMSLIB00000001621	train
CCMSLIB00000001631	train
CCMSLIB00000001645	test
CCMSLIB00000001653	test
CCMSLIB00000001673	train
CCMSLIB00000004235	train
CCMSLIB00000004313	train
CCMSLIB00000004375	train
CCMSLIB00000004409	test
CCMSLIB00000004467	test
CCMSLIB00000004468	test
CCMSLIB00000004469	train
CCMSLIB00000004480	train
CCMSLIB00000004492	train
CCMSLIB00000004518	train
CCMSLIB00000004544	train
CCMSLIB00000004549	train
CCMSLIB00000004566	train
CCMSLIB00000004573	train
CCMSLIB00000004601	val
CCMSLIB00000004619	train
CCMSLIB00000004667	train
CCMSLIB00000004678	train
CCMSLIB00000004692	train
CCMSLIB00000004733	train
CCMSLIB00000004749	train
CCMSLIB00000004805	train
CCMSLIB00000004858	train
CCMSLIB00000004871	train
CCMSLIB00000004903	train
CCMSLIB00000004978	train
CCMSLIB00000004999	train
CCMSLIB00000005045	train
CCMSLIB00000005052	train
CCMSLIB00000005204	train
CCMSLIB00000005221	train
CCMSLIB00000005228	train
CCMSLIB00000005265	val
CCMSLIB00000005310	train
CCMSLIB00000005351	train
CCMSLIB00000005355	train
CCMSLIB00000005360	train
CCMSLIB00000005397	test
CCMSLIB00000005454	test
CCMSLIB00000005468	train
CCMSLIB00000005526	train
CCMSLIB00000005601	train
CCMSLIB00000005606	train
CCMSLIB00000005607	train
CCMSLIB00000005648	train
CCMSLIB00000005657	test
CCMSLIB00000005678	train
CCMSLIB00000005722	train
CCMSLIB00000005800	val
CCMSLIB00000005801	train
CCMSLIB00000005802	train
CCMSLIB00000005803	train
CCMSLIB00000005825	train
CCMSLIB00000005834	train
CCMSLIB00000005873	test
CCMSLIB00000005884	test
CCMSLIB00000005885	test
CCMSLIB00000005888	test
CCMSLIB00000005912	train
CCMSLIB00000005925	train
CCMSLIB00000005959	train
CCMSLIB00000006006	train
CCMSLIB00000006049	train
CCMSLIB00000006094	train
CCMSLIB00000006190	train
CCMSLIB00000006202	train
CCMSLIB00000006264	train
CCMSLIB00000006265	val
CCMSLIB00000006290	train
CCMSLIB00000006406	train
